u,i,year
16694,6227,2018
6774,3826,2006
17939,5125,2012
10277,3085,2006
21072,3190,2020
6285,1341,2009
17025,1608,2015
17840,1705,2015
7642,1866,2012
17537,5086,2015
7193,5238,2015
12718,927,2010
3899,341,2018
17530,3998,2018
3440,2246,2015
10310,1086,2020
16491,8022,2018
15012,2192,2012
21715,5153,2017
10232,2027,2010
9206,6346,2018
4132,2435,2011
4157,3220,2015
18549,11729,2020
17633,4532,2017
22053,2273,2017
10734,1582,2014
24270,254,2020
11725,621,2013
18302,7569,2017
19122,3661,2020
9194,4250,2007
6898,1663,2011
24066,4553,2020
3995,3589,2010
4186,142,2004
7047,3927,2008
3091,1052,2017
8881,7501,2013
7566,497,2016
10328,5521,2015
18399,3665,2019
18844,2939,2016
19379,2344,2017
12268,6204,2020
4100,428,2006
9882,485,2011
17821,4825,2017
10802,6473,2003
14920,1296,2007
8025,7122,2020
11210,4097,2014
19012,2402,2017
20281,1123,2018
3078,2891,1988
15045,1636,2015
22592,243,2020
4063,852,2013
19627,123,2020
22409,1501,2019
6915,3,2008
22608,1982,2020
13009,3028,2004
20103,16012,2020
14435,521,2012
23430,11916,2019
15034,3687,2017
10913,7456,2011
17982,296,2013
8857,2477,2017
12995,3017,2008
13660,5436,2016
23312,1038,2019
10278,2842,2007
15271,2864,2011
16989,6477,2014
5670,4531,2006
7671,1476,2009
19893,1996,2016
17267,6261,2017
12290,833,2020
8589,3119,2016
10885,492,2009
9451,5512,2010
4751,2894,2007
5029,1469,2010
17747,11736,2019
1519,326,2002
18439,4291,2006
17494,4518,2017
19345,427,2017
3849,3398,2015
19193,9097,2019
22500,2723,2019
24916,11030,2019
2323,3,1997
3813,3603,2001
17841,6297,2019
15119,9366,2020
17173,15266,2020
13381,7375,2017
11010,1472,2016
10387,8622,2011
21055,1592,2018
15266,2173,2015
8839,2267,2007
22055,2363,2018
1963,1839,2002
7717,1503,2007
6828,4757,2014
6894,2000,2012
24756,3628,2019
13134,3500,2019
17988,14458,2020
6638,5993,2012
9533,9162,2019
22125,15918,2020
18806,9085,2019
22444,2786,2020
4948,4559,2015
10104,3027,2016
4266,2119,2006
9523,3366,2017
7695,3236,2019
17056,6000,2018
22161,1688,2018
6823,465,2008
8720,2296,2020
15613,5060,2019
17131,7857,2018
22358,1341,2019
18757,964,2016
11241,7696,2019
10400,1744,2009
5311,4005,2015
5726,4756,2008
5993,1168,2012
2314,581,2005
6874,636,2006
4516,4387,2009
20739,166,2017
11902,10502,2018
2535,970,1999
12403,2999,2010
14779,6555,2019
10623,851,2012
11015,4933,2016
10104,4765,2013
7329,3088,2005
19710,9188,2017
17564,7246,2014
4457,1495,2004
12771,9883,2017
22776,778,2020
2602,2465,2011
20042,197,2020
20146,16072,2020
909,833,2003
15260,4771,2019
20402,7961,2018
13363,2736,2012
13473,3931,2011
19212,18,2016
22294,3294,2020
8021,3921,2003
7418,4378,2015
8956,3435,2010
17494,7749,2016
13217,10494,2019
11805,1485,2015
9070,378,2010
6088,104,2002
15801,1567,2019
7709,1878,2017
1461,1372,2005
14170,5438,2019
13769,5563,2017
9625,3096,2010
13809,6181,2018
21759,6664,2019
19766,2229,2017
4665,1326,2003
6036,544,2006
11687,1258,2010
17329,3220,2017
23872,175,2020
6765,918,2009
9179,528,2002
9191,1439,2013
7475,4595,2017
6945,1021,2017
10962,9957,2014
23130,10694,2019
16101,965,2014
11145,476,2017
15145,4889,2017
4510,3880,2010
16423,3831,2019
7033,3184,2012
14526,2638,2013
19208,7140,2017
8209,4400,2008
2948,355,2011
6154,4527,2006
7748,3009,2015
14846,4056,2017
18751,497,2017
21489,21210,2019
22860,365,2019
4391,2042,2007
19872,5269,2017
15633,1360,2015
2970,2001,2008
24902,14046,2018
10328,1990,2018
2694,313,2009
21588,176,2019
13133,7543,2019
15439,508,2013
15751,9325,2016
22915,5215,2019
5566,965,1997
7111,2401,2012
9347,5863,2014
24603,2076,2009
11681,4439,2006
21520,4470,2020
7507,6503,2014
17095,141,2016
2074,1077,2008
8844,8358,2010
21907,1421,2016
10605,4056,2006
5164,774,2004
11708,5590,2020
24291,1036,2020
23003,813,2019
20290,6572,2020
7719,4741,2020
16476,4319,2015
23530,3864,2019
10546,8817,2021
24318,7043,2020
8247,2158,2017
7773,1680,2015
7733,4294,2007
6100,2058,2017
14975,9438,2018
12591,664,2015
20127,2783,2019
9522,4229,2019
21002,13257,2020
6450,4749,2014
11261,2059,2009
22237,4480,2018
12759,641,2010
6124,2347,2004
2452,2162,2007
11923,959,2014
8877,593,2010
16802,4024,2012
8830,4106,2018
1733,713,2006
12186,10854,2013
10263,653,2009
5340,1039,2006
8231,4294,2019
6071,1657,2013
17100,6925,2016
10983,493,2012
13961,2837,2007
13102,1215,2001
12878,3476,2017
17452,986,2016
2631,1451,2007
19284,5992,2016
18178,2624,2017
23442,1948,2020
15706,6013,2019
15919,3318,2010
12413,9387,2013
8049,636,2005
14987,5575,2014
5346,712,2006
12801,9226,2019
10529,7202,2011
24090,536,2020
7684,1747,2009
10841,9262,2006
17945,16238,2018
861,260,1986
16346,5603,2005
4097,3161,2007
7547,4399,2010
15760,9375,2016
13264,11940,2016
8848,4205,2011
9725,5932,2017
11456,5747,2017
19562,5875,2018
17819,2870,2020
5811,1272,2011
22581,12103,2018
10771,5665,2019
15033,436,2020
8609,2278,2016
7503,2367,2017
10022,1112,2018
12208,5693,2019
13467,1950,2005
10496,1585,2015
14188,777,2010
23750,466,2015
12802,2173,2016
3058,1255,2004
5223,4727,2017
19403,8112,2017
13035,8997,2018
12025,3312,2004
14810,2606,2014
17105,7246,2015
5055,4277,2009
12495,7003,2012
3358,547,1999
7953,7627,2012
3938,3078,2004
12883,7088,2013
8485,1668,2011
10345,3699,2007
15405,1146,2017
3317,942,2012
12558,8266,2008
23273,1977,2020
17103,5926,2013
15095,1338,2016
5944,2523,2005
24318,4436,2020
7865,1019,2006
4432,514,2016
4690,516,2005
11991,2710,2005
9510,2684,2021
11745,6407,2020
3397,446,2005
3843,3434,2006
8517,2849,2007
20715,5001,2019
5325,1436,2003
16732,9893,2020
19680,1332,2016
8965,3950,2012
9480,6655,2017
5628,217,2009
3877,1730,2007
23929,1935,2020
17831,3929,2018
23486,1353,2019
20753,14,2018
13812,2680,2013
6821,4955,2011
12138,5274,2018
15680,216,2011
3983,3881,2018
5741,1619,2008
4228,2250,2007
10681,4951,2014
13297,1632,2016
6415,4691,2010
7003,5111,2012
3924,1762,2007
18681,1686,2020
7878,2342,2012
7305,3146,2009
1240,318,2005
7332,936,2018
7514,999,2011
6221,1008,2003
18399,8693,2019
5985,5960,2004
4145,2715,2007
6158,2368,2000
11781,7247,2017
18401,1087,2013
3095,289,1992
8615,3387,2015
18185,3064,2019
8574,4395,2017
4786,1326,2011
4350,1118,2005
12879,4270,2012
5805,2040,2004
14199,1100,2006
20938,3059,2020
23670,11444,2020
15602,11171,2019
10450,1756,2003
15052,7149,2015
2100,2,2002
15796,1600,2015
9056,3235,2005
15261,896,2017
19277,1713,2017
17526,636,2016
23927,8232,2020
6093,2862,2009
10503,79,2014
12727,1414,2015
21954,3849,2016
9753,1167,2013
24468,178,2020
9283,2258,2020
18948,1853,2017
4943,836,2013
8066,2920,2018
9747,3536,2007
5423,1211,2006
8782,405,2018
20666,1200,2019
17227,13263,2018
6595,4909,2013
15854,1799,2015
20865,2942,2018
467,336,2007
13756,10186,2017
11363,651,2009
22988,15169,2018
10800,4955,2016
16787,2013,2012
17949,4755,2015
4001,3125,2001
2791,2702,2008
18572,5474,2018
6806,1394,2009
6927,4877,2009
18025,1024,2019
22662,14389,2019
6791,5343,2013
14129,536,2012
4322,199,2007
17693,13170,2015
5166,40,2009
18416,9133,2019
8446,6343,2016
15693,9338,2015
20153,4571,2019
22881,1775,2019
5742,1210,2010
9434,5082,2019
13470,8424,2012
14982,832,2007
15333,11105,2020
13498,7173,2015
5568,1513,2006
22294,14247,2020
10722,3125,2009
9850,2116,2009
15655,9385,2018
22923,4165,2019
12318,2578,2007
14068,11838,2009
17301,8692,2015
1883,1847,2004
22428,7962,2019
18284,2321,2010
5034,2288,2007
15826,4658,2020
15394,4729,2013
22672,1520,2019
21651,1231,2018
9059,449,2008
13622,7288,2011
7292,4209,2014
12472,1731,2011
8842,2858,2011
5294,131,2011
6381,4582,2007
9345,3398,2017
7459,1667,2017
9469,8030,2015
11670,3314,2019
3100,1865,2012
4276,3753,2009
23854,2071,2020
9988,604,2005
13194,1710,2011
17311,2418,2015
4973,4874,2007
11929,3944,2014
12901,2039,2020
22399,1509,2020
16979,1157,2014
13891,293,1998
10620,1727,2014
7088,3368,2013
5563,4883,2008
3843,2047,2004
20261,4565,2018
15716,14367,2018
6494,3578,2011
2414,1036,2004
7914,3384,2010
8406,6406,2018
19749,1089,2016
22030,5459,2020
19146,2952,2019
1625,1035,2004
12126,4932,2008
7673,780,2019
11671,6142,2007
9261,1623,2014
6755,134,2003
24055,18902,2020
20082,722,2017
15582,4181,2018
4371,2593,2008
3442,572,2004
4436,1446,2008
15207,6643,2009
11437,1853,2011
5542,2699,2009
2249,1672,2010
22926,4105,2019
16789,154,2015
6804,3608,2019
22983,8559,2020
23357,6211,2020
22113,5349,2017
8438,2394,2012
6741,4171,2012
5212,2706,2007
6161,2329,2013
9114,396,2018
4806,3161,2005
14016,13485,2009
10639,2736,2005
4263,2632,2008
3394,2925,2005
5471,1575,2008
13039,3576,2009
13785,3039,2013
4184,3760,2010
5945,4922,2019
7636,607,2007
3339,973,2013
4940,1112,2009
6670,1945,2016
22727,7441,2019
22683,1153,2019
2658,921,2018
17597,561,2020
8899,1770,2010
14444,2361,2012
15504,2430,2010
8178,1127,2012
5619,1115,2002
15827,4817,2020
8431,3038,2019
8757,2018,2012
19519,18248,2020
17350,2896,2011
14305,3004,2005
7771,3127,2015
5696,1301,2006
15284,4452,2016
13706,9791,2011
9806,109,2010
9236,2014,2009
11634,7848,2017
19749,2292,2016
10219,1320,2012
19728,1927,2016
16373,937,2007
4914,2445,2010
15079,3539,2015
6628,2733,2010
4188,2728,2013
8266,3878,2009
8788,1119,2015
13107,4495,2012
15862,387,2014
4779,1461,2003
18057,6,2007
15987,5659,2014
1679,144,1985
5857,1884,2017
1116,725,2016
23966,3743,2020
2019,446,2008
18295,3384,2006
20403,482,2018
11542,10332,2008
6858,1071,2017
15934,2248,2018
12486,2376,2012
11887,270,2001
22082,2340,2020
19693,1582,2017
11524,2344,2009
2198,1661,1988
7039,6128,2012
14573,964,2008
10060,4997,2012
4645,2897,2017
7309,2747,2018
7964,7682,2017
8489,3825,2010
4905,3919,2012
9620,346,2011
10807,6720,2011
4481,3813,2006
15334,4123,2011
22917,1119,2019
13034,12390,2019
9056,5164,2012
11426,3642,2006
23071,1746,2019
2331,579,2018
4833,2160,2009
18041,1180,2008
11835,2262,2017
11375,2576,2015
24691,7393,2014
16176,948,2015
1784,1453,2011
16631,3838,2019
9942,693,2012
1511,527,1992
10215,3205,2013
6463,5059,2002
20226,1641,2020
7956,915,2003
24002,1241,2019
5814,4846,2017
16843,1434,2012
8038,6231,2008
12269,1581,2019
4009,2730,2008
5128,5110,2018
4065,2260,2011
11493,10613,2011
23125,4170,2012
7824,943,2015
9953,8701,2010
11388,4155,2004
14960,8120,2017
10980,5452,2019
20911,4743,2018
12003,6167,2010
4714,906,2008
7180,2867,2010
9807,2008,2017
2733,567,1996
17850,3859,2015
5694,1734,2011
7083,5167,2020
7202,6023,2020
10605,1273,2015
16594,7028,2015
5659,582,2003
15802,3255,2020
10693,479,2009
12411,2711,2017
21628,317,2018
4670,4423,2018
18293,120,2009
17149,459,2017
18259,9558,2010
22037,1274,2018
11122,262,2010
15765,11058,2019
9890,3128,2017
24787,1148,2012
9269,4187,2007
7401,1317,2019
17106,2937,2014
15539,2805,2016
13689,2881,2020
14576,5891,2020
17077,159,2017
10032,1654,2017
7198,3021,2006
17068,1412,2016
5344,4644,2006
5994,2313,2008
1623,213,2004
16677,2606,2015
14228,4531,2016
7857,6447,2014
22722,632,2020
17804,788,2001
3525,2435,2012
12806,3303,2015
2034,737,2004
11334,6790,2010
15014,5456,2018
14811,9608,2012
12472,5180,2018
18798,5684,2020
16845,9541,2020
7856,977,2008
10365,6127,2015
2586,1849,2003
17334,1022,2014
10021,5427,2017
6940,980,2010
5344,2923,2008
9186,647,2013
1486,1146,2006
11771,6478,2015
10526,5694,2007
13992,8561,2011
10048,5094,2006
20765,343,2018
2694,1623,2012
8989,7161,2005
2086,795,2002
19385,5659,2017
18751,6329,2018
19388,5196,2019
3370,1570,2007
19817,4480,2020
7435,123,2000
17068,8845,2020
20339,8365,2019
10464,3325,2008
11708,10659,2017
13296,5196,2020
8135,5734,2018
11399,6237,2015
18751,3991,2017
19888,7308,2020
14754,1394,2007
6554,2522,2011
5982,331,2004
12776,1573,2012
16117,10324,2020
15872,4129,2018
15766,5368,2020
22196,8472,2018
15644,2750,2016
5613,3719,2007
6249,438,2017
8933,770,2009
2743,1153,2004
2518,764,2001
17352,7497,2017
10203,711,1997
8321,6463,2018
17103,4253,2020
19620,13258,2017
9040,4432,2007
12563,4596,2011
14638,969,2009
6377,633,2005
24909,125,2007
7874,5070,2016
12352,4865,2009
4094,1463,2009
8949,6278,2004
11992,1261,2017
16454,2057,2019
20612,1479,2020
20154,4035,2017
21027,15993,2018
5506,3527,2006
13300,2034,2004
3683,2706,2008
19136,575,2016
10176,9222,2017
18969,4925,2020
5585,1170,2007
21173,1218,2018
3643,3567,2009
12775,10937,2018
6056,3235,2007
3498,1331,2009
5145,31,2007
3603,2367,2009
13275,2477,2004
16521,10186,2017
15655,13834,2018
13598,4830,2015
12376,6653,2017
5801,4950,2010
23631,4815,2012
8595,5834,2016
19111,4748,2017
18023,5785,2007
20049,71,2017
5005,3490,2006
6163,5143,2008
8208,317,2015
4397,826,1988
8639,3374,2008
10692,6741,2012
4518,4046,2012
20033,960,2017
5884,5139,2008
5507,685,1995
11440,776,2006
6172,4567,2019
17131,1823,2015
14617,1072,2011
7276,2015,2011
2991,1140,2015
17095,10791,2017
5948,3608,2009
8286,3732,2011
24501,1211,2020
5313,944,2018
14730,532,2008
5647,101,2005
16792,3090,2015
2390,1408,2005
8838,8588,2015
17105,11354,2020
1933,414,2004
11659,4405,2020
20756,1669,2018
4721,1827,2007
14571,1543,2009
499,12,1983
3283,1634,2002
10894,2194,2007
13858,3725,2020
10066,8810,2019
3008,1156,2008
11654,5059,2005
14232,1065,2007
14663,12649,2012
18242,17079,2014
17057,7063,2017
8970,3446,2017
7351,1890,2013
12509,3852,2019
23269,10022,2019
1168,1048,2001
12649,3765,2016
10977,2737,2013
5170,3852,2006
13172,248,2014
8760,8270,2018
5222,3803,2020
7808,5552,2019
11146,5970,2015
1104,666,2004
20277,18603,2017
3907,990,2006
14873,2902,2017
19221,2220,2016
20701,5979,2018
11683,3929,2010
17761,2056,2019
2043,1243,2005
5613,3006,2013
5266,1219,2009
19110,966,2017
18744,5402,2019
20497,7624,2019
15998,3060,2018
4072,615,2002
5863,2046,2010
16710,1414,2015
11167,1140,2005
18373,10490,2013
10030,2056,2017
1966,524,1995
21144,26,2018
12653,1597,2015
7040,5659,2017
12083,2116,2008
19902,965,2017
15561,8416,2018
3046,3019,2012
5468,4129,2005
15618,822,2017
12967,2456,2015
3967,3846,2018
5424,1859,2013
4523,4460,2007
10416,5739,2015
9031,8664,2014
9876,6529,2019
9599,2245,2006
10147,8360,2016
2730,2276,2006
14242,397,2017
13110,8388,2017
19962,19332,2018
20242,1731,2017
24184,2053,2020
13447,1468,2020
22116,5029,2018
23935,11886,2020
11060,10508,2013
23796,10174,2019
8811,287,2009
3563,1250,1992
19782,5758,2017
3783,346,2004
4861,3983,2009
13824,629,2017
7033,290,2012
12219,9761,2016
10710,2332,2010
9591,925,2006
22404,4179,2020
9238,944,2010
22437,16671,2019
8287,5023,2015
9517,764,2015
4741,225,1999
7812,6738,2018
6497,4730,2015
24188,72,2018
13864,1453,2008
23525,5866,2019
4084,2367,2013
10147,6829,2019
5243,3936,2011
11661,1389,2006
17612,3633,2017
14439,2366,2011
10597,3291,2017
2856,1967,1990
9940,860,1993
5575,1268,2011
9137,4815,2016
10943,1028,2016
16855,3099,2019
9969,3945,2010
8580,4467,2018
10426,1446,2018
9268,1213,2006
13992,7295,2011
2222,2012,2019
9085,387,2008
5267,3347,2009
3361,2686,2007
17339,2227,2020
20753,6398,2019
12265,1497,2013
9599,1156,2006
5508,1930,2006
11657,3547,2006
11377,11058,2007
13738,2602,2017
6410,422,2003
20047,1704,2020
10469,7259,2012
12003,3183,2014
2323,1427,2005
15650,3139,2015
4841,3103,2013
1746,141,2001
19194,6274,2020
23366,17883,2019
9815,8274,2017
15392,7243,2002
6056,726,1994
9689,1189,2015
13742,3447,2003
19370,3776,2018
17464,4756,2017
5659,4721,2007
8433,3154,2016
9957,5320,2006
17730,311,2017
14362,5024,2019
14751,9044,1999
12359,9744,2020
20727,9351,2018
15546,1972,2018
9201,3791,2012
23572,171,2020
7527,963,2009
4199,2430,2008
6435,3098,2011
10846,1231,2019
13470,6981,2019
8985,5788,2003
23868,1510,2020
3143,906,2009
22854,5242,2019
3811,3029,2011
9094,4364,2019
17664,16453,2019
11414,7264,2019
8384,5796,2006
7138,1809,2017
3359,547,1999
5107,781,2003
8186,1211,2011
3121,2712,2001
8829,607,2012
21702,2421,2020
11259,2670,2020
4494,1565,2010
5918,1361,2014
2902,2532,2008
15537,7109,2017
9532,1198,2015
7298,4854,2009
8733,2600,2011
21336,9616,2020
21289,2366,2018
7878,626,2007
2269,342,2016
12719,3719,2011
7723,2128,2015
12880,2871,2017
10633,8825,2012
10247,624,2019
12604,9228,2011
14657,6906,2019
17712,4833,2019
7178,4133,2012
10626,164,2009
8368,1276,2017
18526,15150,2020
8315,175,2011
8819,5257,2016
15746,2388,2014
21809,2697,2018
12888,576,2006
6838,206,2009
6003,5336,2010
10562,4254,2005
10150,1705,2003
4702,1846,2012
14637,13628,2013
9791,7598,2009
20064,5497,2017
6836,852,2004
19533,2794,2019
16409,711,2015
14461,949,2015
11245,2323,2014
9227,3475,2012
13733,1290,2016
19753,1156,2017
10504,1114,2014
12790,59,2012
13906,565,2010
1929,1879,1997
9683,182,2012
21054,2733,2018
6464,4886,2018
16284,3514,2018
19531,277,2018
11913,4671,2019
9329,3291,1998
6261,704,2009
807,51,1992
14665,2378,2010
9038,5720,2011
8720,6047,2017
5945,5743,2019
9867,1527,2013
13898,123,2013
9586,1596,2012
5338,659,2004
8376,133,2013
17056,1258,2017
17582,1780,2006
21646,2755,2019
19447,9443,2020
23656,1381,2020
16454,6818,2015
8510,1660,2010
3632,1052,2004
23215,693,2019
4527,1101,2004
14724,1378,2009
13454,10509,2020
9164,207,2002
5802,5538,2011
8079,1485,2018
17077,16100,2018
22503,10,2016
24118,5738,2020
8380,867,2008
9052,1657,2017
17939,680,2012
14160,5827,2020
4752,3724,2010
15908,7217,2019
22399,1584,2020
7483,6100,2017
13292,10519,2017
12253,2920,2011
15355,6965,2019
8963,3540,2016
13355,625,2009
13267,6047,2010
18847,8658,2017
5599,4790,2016
6536,3169,2009
17076,10024,2020
5411,1798,2012
9234,6372,2006
17383,10122,2020
10919,7326,2010
6316,4127,2017
16833,3276,2012
13430,1509,2019
8624,1449,2011
14893,2515,2016
18458,520,2020
11745,2165,2016
20276,17688,2020
21275,10558,2020
20641,3454,2017
10816,4395,2017
12005,7387,2007
12363,2961,2013
2164,2103,2012
17571,7190,2019
3678,2999,2012
10326,9389,2012
15555,5026,2008
1991,803,2012
9846,2563,2018
9328,7841,2015
3944,121,2010
19606,17238,2017
24272,12623,2020
16194,15570,2019
19020,1262,2017
19590,6807,2018
22226,6767,2018
11982,7793,2018
11967,1637,2013
6599,2649,2006
21253,1684,2015
2075,1657,2013
14699,2608,2016
6637,1821,2006
13752,4822,2018
7056,4773,2012
9333,213,1997
10857,530,2014
10378,6582,2017
5532,1502,2004
10779,6262,2008
16933,1155,2013
11175,5467,2005
8156,3984,2008
16179,12362,2014
6556,2290,2019
7100,3346,2017
14864,3597,2013
21156,7028,2019
10215,4041,2017
8775,4507,2010
22058,3529,2019
2415,473,2000
4649,3178,1999
6677,5216,2014
11129,4431,2019
10295,9659,2018
17629,3995,2017
11038,7926,2020
15476,1651,2013
3462,615,2005
21348,10014,2018
4352,3175,2020
7112,1661,2009
10774,1605,2016
15142,6148,2014
15454,1162,2016
20857,3334,2020
2152,318,2006
18802,35,2020
15983,3874,2018
2993,289,2001
23589,7533,2020
17018,16371,2018
12653,2431,2015
9902,367,2011
20369,3098,2019
5174,2321,2004
11072,4288,2018
22943,2600,2010
5572,4170,2005
20964,520,2018
4278,1779,2009
4808,4702,2017
20246,3920,2020
10328,2589,2012
4696,2328,2016
4127,440,2004
10523,1574,2009
15179,8054,1999
19230,3343,2020
6927,1841,2020
24503,1053,2020
12750,4518,2009
4922,2229,2005
6094,938,2006
15484,3151,2017
14699,8330,2012
12704,2037,2019
5990,1365,2004
9308,8905,2016
13159,3832,2014
7706,4292,2011
8714,674,1992
9166,1392,2014
9705,1065,2016
21493,6676,2018
11122,6039,2010
4680,901,2006
24607,2624,2005
12873,4571,2017
4689,1121,2012
19252,6956,2019
13762,1667,2000
19822,7247,2017
7926,2832,2020
12585,4629,2011
8196,4410,2015
5262,3761,2004
196,29,2007
14600,8231,2019
17551,17053,2017
14543,1565,2011
2925,2691,2006
8975,5964,2008
19122,13560,2018
11851,3765,2008
11245,232,2014
20752,10260,2020
10081,1613,2018
18062,2303,2011
13431,1508,2005
16831,4639,2015
13722,1576,2017
7918,746,2017
12390,2716,2008
5281,1365,2010
7398,2600,2009
5117,5055,2007
20342,1172,2017
19030,2694,2017
8599,8027,2017
3611,3292,2003
10917,6356,2018
6623,1061,2011
10271,3530,2019
2076,1327,2001
22048,6328,2017
21064,456,2018
13603,2039,2017
20612,6763,2020
12392,971,2009
3435,1597,2005
19262,3980,2019
18145,1100,2013
17422,525,2014
6418,1196,2011
4007,2087,2005
23974,4820,2020
16470,4538,2016
9768,6059,2005
6756,3802,2012
3771,3243,2020
23966,9074,2020
6122,4898,2008
13108,7906,2016
10249,3927,2004
16308,4994,2001
13211,4022,2020
7106,6406,2010
17470,2730,2018
5805,1741,2005
4341,2952,2009
2649,1586,2005
4762,1693,2012
24025,17130,2020
16316,4093,2004
11920,4291,2018
4480,4285,2001
7105,1681,2016
22320,1341,2018
9925,518,2015
23117,1642,2020
6769,3426,2012
10722,6035,2019
17798,7290,2015
8806,3181,2015
10249,7581,2005
8222,6307,2020
17505,16917,2019
7606,5628,2010
6186,4727,2019
15205,7219,2011
21024,3355,2017
7117,916,2011
17135,4423,2015
4679,375,2013
7956,4530,2004
19771,7263,2016
18607,11068,2016
10817,1734,2013
15570,3933,2018
10074,7709,2004
3740,3,2006
12785,5359,2019
17609,3225,2015
3080,699,2017
22972,1053,2007
5632,5226,2014
486,161,2007
8728,344,2004
7053,929,2010
22509,4926,2020
12207,6527,2009
5919,270,2016
2743,315,2000
9792,1767,2010
9191,1615,2013
6253,6197,2002
5636,272,2004
19928,10386,2018
15941,6228,2014
10520,711,2006
24832,10931,2014
7313,6615,2010
5907,4807,2017
4683,192,2014
14846,7648,2014
7004,2941,2007
7922,6025,2018
10201,3045,2009
5692,333,2001
17369,4192,2018
21309,2530,2018
2843,1595,2014
6542,2272,2005
1692,117,2003
17064,2887,2014
17998,4287,2018
6013,7,2004
20305,1160,2017
10601,2027,2010
13001,339,2011
21322,720,2018
17882,8854,2018
14683,1021,2008
5568,93,2006
9840,4339,2017
7316,3090,2009
7909,3200,2008
11837,2632,2020
13569,3712,2009
20172,3788,2019
2861,1848,2017
5427,2253,2011
2673,1448,2011
14561,8947,2020
6178,3140,2012
22934,3620,2019
11582,9744,2017
19909,3554,2018
8318,5146,2009
22860,4395,2019
5995,4408,2015
12280,4973,2020
7756,298,2011
22783,4783,2019
15947,11404,2017
9757,1837,2013
21949,7883,2019
14309,4111,2016
12993,3439,2015
18332,1378,2011
20424,6104,2017
14243,4954,2007
2742,648,1971
19328,8082,2018
9673,1861,2010
3900,792,2004
15907,6811,2017
11533,8267,2021
12498,284,2008
15358,3877,2014
17436,5377,2015
9606,9415,2017
24912,1691,2008
12338,9022,2018
8081,1154,2019
13758,12412,2003
14042,6664,2010
6263,2218,2008
16195,3923,2017
5259,2158,2006
8004,3331,2014
18101,503,2006
18908,2087,2016
5589,82,2005
11740,2613,2005
966,674,1985
6511,3974,2005
16862,3916,2019
7133,2374,2009
8662,2789,2017
16259,15020,2014
19237,835,2017
23721,1324,2020
2479,717,2001
804,550,2001
13178,4898,2012
5578,3953,2018
12579,1128,2008
17901,2045,2020
18356,1019,2010
6464,5588,2015
14290,2481,2010
6807,1165,2002
7461,4970,2015
2705,243,2007
20142,396,2018
13676,1806,2004
19304,8263,2020
9218,5655,2019
6983,3072,2010
16823,3488,2020
5941,3467,2015
10165,6180,2015
22844,2396,2019
18526,9214,2015
8308,2372,2011
10105,30,2011
3029,458,2008
6399,418,2012
15792,14108,2014
15140,3372,2013
8157,6604,2017
13191,3653,2012
10528,4676,2012
9453,5080,2012
16064,4477,2019
21388,8613,2019
24718,4929,2008
16297,127,1991
7770,6896,2013
17579,5942,2019
14364,4186,2018
17597,6121,2020
4273,457,2009
11023,3218,2017
15111,2573,2017
16452,1644,2010
15511,6739,2011
14957,5620,2014
23384,12336,2019
16695,1463,2016
6601,477,2012
19850,6334,2020
10757,1916,2007
20524,5196,2018
12332,3038,2013
12917,5548,2009
6200,1185,2003
19564,1049,2017
6153,599,2007
14194,641,2006
11350,5146,2008
21618,9744,2019
20127,5547,2020
18642,545,2016
17111,5548,2010
13939,5362,2019
1495,1480,2002
4477,2306,2004
15875,1272,2014
13851,12585,2013
7510,2531,2009
3155,387,2007
11470,4107,2010
6353,3623,2012
10449,982,2008
19222,7581,2017
11978,8143,2017
8922,7411,2001
22309,4165,2019
18711,7408,2011
11521,7144,2007
13585,1746,2009
20211,88,2017
15926,10035,2014
14752,222,2013
12257,4463,2011
5734,1391,2013
18182,339,2014
7251,5423,2012
2530,1058,2010
8461,8025,2012
7561,2819,2013
12380,2581,2019
17914,292,2012
17537,1054,2015
7973,6563,2015
3464,1110,2018
1843,221,2012
2303,1731,2007
8693,6804,2015
17919,12541,2020
4176,2917,2004
2383,1058,2005
5418,1717,2003
12325,2906,2010
8929,6941,2013
23870,9668,2020
12793,418,2012
23117,2056,2019
11799,10392,2018
8253,3721,2018
5904,1341,2013
11812,158,2012
13736,3418,2007
14485,4262,2016
14623,2015,2013
2272,104,1997
20370,6007,2019
21765,5989,2019
3615,1644,2006
20528,8254,2020
6907,633,2009
9212,6071,2017
23341,890,2020
14766,7549,2007
4190,697,2016
3773,2866,2006
1519,1118,2002
7350,4022,2019
20009,2284,2017
3567,1375,2006
23944,3049,2020
17343,5017,2015
17544,6568,2019
18883,15872,2018
2074,447,2005
20275,1644,2017
6907,6113,2010
11998,435,2007
16029,963,2014
16790,1981,2016
10054,611,2002
2833,986,2007
13381,2296,2017
16796,10096,2019
6280,1331,2009
4812,1915,2010
16175,3900,2014
9030,7681,2015
12023,1918,2016
19206,9152,2019
14966,368,2008
12634,9302,2013
12614,10793,2015
18502,35,2009
17777,3158,2008
14918,517,2007
15515,4421,2012
5144,2023,2007
9401,3597,2017
14408,1403,2010
16552,642,2002
16092,10458,2017
23880,16033,2020
19815,1812,2019
22592,11015,2020
11947,9709,2012
19041,3336,2016
980,666,2000
3287,939,2005
10758,6527,2019
23910,17914,2020
14966,8706,2018
8122,3264,2014
23676,286,2020
17645,93,2016
22877,7434,2019
8728,2328,2019
10721,1605,2012
19741,9199,2019
12919,6,2009
