u,i,year
10857,3654,2018
12877,1228,2009
2158,1570,2005
4277,2382,2006
16257,400,2018
22833,449,2019
11165,3676,2010
20586,289,2018
11013,8145,2010
9068,8761,2019
6217,40,1999
9781,1054,2007
6161,1075,2011
10047,3918,2019
16987,1443,2015
12898,1295,2016
24290,998,2020
3510,1016,2019
17825,2904,2011
16266,6438,2019
3681,3631,2012
5663,3433,2007
9225,5056,2009
19916,3940,2019
7833,1721,1998
21012,7823,2012
3547,888,2006
4512,1116,2009
16100,4138,2017
16063,3169,2017
8084,406,2015
22443,78,2019
11294,1909,2016
19932,4663,2017
9788,3438,2014
5421,5002,2016
17395,1363,2016
15002,2645,2008
5089,4607,2009
23186,877,2019
9078,5908,2011
7682,3564,2008
6372,1132,2008
8521,8368,2020
14925,9436,2018
19108,5946,2018
15227,1466,2017
14506,1720,2013
5282,1322,2015
16743,5763,2016
1149,213,2004
23387,5578,2019
12734,7503,2016
9478,5908,2017
9644,3538,2014
17570,677,2016
7688,6733,2012
15312,3611,2009
2041,113,1996
3905,2956,2017
23558,15914,2020
7642,1349,2009
15413,4690,2020
4576,2913,2007
5558,1341,2016
6240,1525,2012
4577,2520,2008
13910,7649,2011
3875,2280,2016
24652,3611,2013
8221,3567,2008
24392,1631,2020
17394,13558,2015
4587,1224,2009
5782,879,2006
8630,4835,2017
8238,1095,2004
17096,3392,2019
15172,1648,2011
6296,47,2016
17271,3268,2015
18289,6735,2009
6518,4072,2009
3584,1925,2008
11395,3235,2017
17833,3740,2007
6763,3620,2009
13507,4150,2009
8256,950,2013
7289,1707,2018
22536,6269,2019
16117,10166,2020
6343,5440,2015
16199,179,2015
21749,13636,2019
19702,3670,2019
7775,3128,2016
9746,2231,2012
16422,2122,2019
14501,806,2014
5019,1968,2009
8834,6925,2016
4200,2775,2007
24701,5250,2016
12518,1054,2013
12024,2900,2014
8018,4935,2007
13074,639,2008
7579,3705,2008
8461,3276,2018
9363,3675,2008
17839,3634,2018
17100,1134,2013
11562,6173,2017
12316,10064,2019
9846,733,1994
2154,559,2003
15801,3564,2011
19073,10452,2017
20874,1170,2018
23676,2017,2020
8204,5880,2017
15391,6427,2020
9725,3160,2019
3129,273,1995
4000,285,2017
14525,4028,2014
9474,2113,2016
13341,5511,2013
9021,2190,2012
13801,3602,2018
7681,867,2012
16809,5283,2020
16667,268,2005
9950,856,2009
17860,7203,2015
9970,3628,2015
5741,3178,2005
7986,278,2009
21197,3843,2018
1880,1264,1996
8227,7025,2017
19229,3229,2002
7658,140,2017
3060,496,2001
6633,3603,2003
1846,1764,2013
8998,6767,2017
4881,2543,2005
11973,3053,2006
8722,1762,1997
3789,3193,2004
18483,4382,2012
3127,767,2011
6652,919,2019
19548,2257,2017
19543,1575,2017
16001,1095,2015
22974,18740,2020
1364,67,1998
16638,2963,2015
11089,1243,2004
8168,3953,2013
11291,7090,2017
21101,841,2008
10804,270,2015
17040,4118,2008
9119,5622,2008
4158,3191,2004
5804,140,2006
10534,547,2007
2933,2216,2008
6908,3046,2017
13330,11465,2016
9172,5074,2009
17638,4612,2015
16335,339,2015
16869,1509,2014
8988,2305,2012
10867,9311,2020
13288,8174,2008
22140,4188,2019
9379,1326,2007
12020,4349,2020
6928,4526,2010
15761,2100,2015
8430,3876,2019
11358,6637,2005
13483,6104,2008
23521,2381,2020
12296,1453,2010
17060,1312,2010
11308,1471,2018
6676,117,2019
5893,2361,2012
9430,6896,2019
8590,986,2007
6156,1419,2012
5645,4818,2000
1195,205,2015
9324,1794,2009
10429,38,2012
17911,6420,2011
10501,731,2019
14566,353,2003
6550,5290,2005
13355,279,2009
13839,12701,2019
4477,4303,2015
24748,3344,2007
20487,4229,2020
18516,6172,2017
16423,3045,2018
8720,8257,2017
9139,2250,2008
19491,564,2017
21056,589,2020
5277,33,1994
9325,8616,2019
11128,1104,2008
7216,4151,2009
2119,350,2002
3168,818,1999
